Car_Model,Actual_MPG,Predicted_MPG_all_input
Mazda_RX4,21,23.570029898189
Mazda_RX4Wag,21,22.6008027996163
Datsun_710,22.8,25.2886829093268
Hornet_4_Drive,21.4,21.2166731115336
Hornet_Sportabout,18.7,18.2407220001819
Valiant,18.1,20.4721589726262
Duster_360,14.3,15.5656476663427
Merc_240D,24.4,22.9114989267066
Merc_230,22.8,22.0408967262047
Merc_280,19.2,20.0411431906173
Merc_280C,17.8,20.0411431906173
Merc_450SE,16.4,15.7692743436316
Merc_450SL,17.3,17.0615771417284
Merc_450SLC,15.2,16.8715326125965
Cadillac_Fleetwood,10.4,10.3214685035823
Lincoln_Continental,10.4,9.35979214288175
Chrysler_Imperial,14.7,9.2114544180907
Fiat_128,32.4,26.6134710177394
Honda_Civic,30.4,29.2759947474463
Toyota_Corolla,33.9,28.0390739002515
Toyota_Corona,21.5,24.6015897616385
Dodge_Challenger,15.5,18.754918905742
AMC_Javelin,15.2,19.091112732407
Camaro_Z28,13.3,14.5487772998454
Pontiac_Firebird,19.2,16.663880950954
Fiat_X1-9,27.3,27.620425919414
Porsche_914-2,26,26.0236311041592
Lotus_Europa,30.4,27.7449580100678
Ford_Pantera_L,15.8,16.5024625153622
Ferrari_Dino,19.7,20.9887756430691
Maserati_Bora,15,12.8168416274553
Volvo_142E,21.4,23.0295873099749
